Protein Group,Protein ID,Accession,Significance,-10lgP,Intensity Sample 1 : TMT10-126,Intensity Sample 2 : TMT10-126,Intensity Sample 3 : TMT10-126,Intensity Sample 1 : TMT10-127N,Intensity Sample 2 : TMT10-127N,Intensity Sample 3 : TMT10-127N,Intensity Sample 1 : TMT10-127C,Intensity Sample 2 : TMT10-127C,Intensity Sample 3 : TMT10-127C,Intensity Sample 1 : TMT10-128C,Intensity Sample 2 : TMT10-128C,Intensity Sample 3 : TMT10-128C,Intensity Sample 1 : TMT10-129C,Intensity Sample 2 : TMT10-129C,Intensity Sample 3 : TMT10-129C,Intensity Sample 1 : TMT10-130C,Intensity Sample 2 : TMT10-130C,Intensity Sample 3 : TMT10-130C,Intensity Sample 1 : TMT10-131,Intensity Sample 2 : TMT10-131,Intensity Sample 3 : TMT10-131,Ratio Sample 1 : TMT10-126,Ratio Sample 2 : TMT10-126,Ratio Sample 3 : TMT10-126,Ratio Sample 1 : TMT10-127N,Ratio Sample 2 : TMT10-127N,Ratio Sample 3 : TMT10-127N,Ratio Sample 1 : TMT10-127C,Ratio Sample 2 : TMT10-127C,Ratio Sample 3 : TMT10-127C,Ratio Sample 1 : TMT10-128C,Ratio Sample 2 : TMT10-128C,Ratio Sample 3 : TMT10-128C,Ratio Sample 1 : TMT10-129C,Ratio Sample 2 : TMT10-129C,Ratio Sample 3 : TMT10-129C,Ratio Sample 1 : TMT10-130C,Ratio Sample 2 : TMT10-130C,Ratio Sample 3 : TMT10-130C,Ratio Sample 1 : TMT10-131,Ratio Sample 2 : TMT10-131,Ratio Sample 3 : TMT10-131,Intensity Group 1(Sample 1 : TMT10-126; Sample 2 : TMT10-126; Sample 3 : TMT10-126),Intensity Group 2(Sample 1 : TMT10-127N; Sample 2 : TMT10-127N; Sample 3 : TMT10-127N),Intensity Group 3(Sample 1 : TMT10-127C; Sample 2 : TMT10-127C; Sample 3 : TMT10-127C),Intensity Group 4(Sample 1 : TMT10-128C; Sample 2 : TMT10-128C; Sample 3 : TMT10-128C),Intensity Group 5(Sample 1 : TMT10-129C; Sample 2 : TMT10-129C; Sample 3 : TMT10-129C),Intensity Group 6(Sample 1 : TMT10-130C; Sample 2 : TMT10-130C; Sample 3 : TMT10-130C),Intensity Group 7(Sample 1 : TMT10-131; Sample 2 : TMT10-131; Sample 3 : TMT10-131),Ratio Group 1(Sample 1 : TMT10-126; Sample 2 : TMT10-126; Sample 3 : TMT10-126),Ratio Group 2(Sample 1 : TMT10-127N; Sample 2 : TMT10-127N; Sample 3 : TMT10-127N),Ratio Group 3(Sample 1 : TMT10-127C; Sample 2 : TMT10-127C; Sample 3 : TMT10-127C),Ratio Group 4(Sample 1 : TMT10-128C; Sample 2 : TMT10-128C; Sample 3 : TMT10-128C),Ratio Group 5(Sample 1 : TMT10-129C; Sample 2 : TMT10-129C; Sample 3 : TMT10-129C),Ratio Group 6(Sample 1 : TMT10-130C; Sample 2 : TMT10-130C; Sample 3 : TMT10-130C),Ratio Group 7(Sample 1 : TMT10-131; Sample 2 : TMT10-131; Sample 3 : TMT10-131),Coverage (%),#Peptides,#Unique,PTM,Avg. Mass,Description
5,14,P06733,200.00,309.63,5.455E6,5.964E6,5.551E6,1.458E7,1.656E7,1.519E7,1.135E7,1.328E7,1.257E7,3.963E7,4.643E7,4.154E7,1.28E7,1.433E7,1.366E7,1.723E7,1.976E7,1.85E7,1.371E7,1.545E7,1.298E7,1.00,1.09,1.02,2.67,3.04,2.78,2.08,2.43,2.30,7.27,8.51,7.62,2.35,2.63,2.50,3.16,3.62,3.39,2.51,2.83,2.38,1.697E7,4.634E7,3.72E7,1.276E8,4.079E7,5.55E7,4.214E7,1.00,2.73,2.19,7.52,2.40,3.27,2.48,66,144,94,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M),47169,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2
10,38,P07900,59.50,309.37,1.432E6,1.356E6,1.239E6,3.181E6,3.257E6,3.053E6,2.682E6,2.715E6,2.56E6,4.273E6,4.345E6,3.917E6,3.05E6,3.152E6,2.86E6,2.98E6,3.055E6,2.765E6,3.975E6,3.578E6,3.389E6,1.00,0.95,0.87,2.22,2.28,2.13,1.87,1.90,1.79,2.98,3.03,2.74,2.13,2.20,2.00,2.08,2.13,1.93,2.78,2.50,2.37,4.027E6,9.491E6,7.957E6,1.253E7,9.062E6,8.799E6,1.094E7,1.00,2.36,1.98,3.11,2.25,2.19,2.72,40,176,73,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M); Phosphorylation (STY),84660,Heat shock protein HSP 90-alpha OS=Homo sapiens OX=9606 GN=HSP90AA1 PE=1 SV=5
21,11,Q9BQE3,7.16,308.00,1.108E5,8.316E4,2.343E5,1.008E5,8.546E4,9.45E4,9.73E4,9.618E4,1.483E5,1.085E5,9.895E4,1.304E5,9.909E4,8.566E4,1.084E5,7.7E4,6.89E4,1.069E5,1.687E5,1.39E5,1.049E5,1.00,0.75,2.11,0.91,0.77,0.85,0.88,0.87,1.34,0.98,0.89,1.18,0.89,0.77,0.98,0.69,0.62,0.97,1.52,1.25,0.95,4.282E5,2.808E5,3.418E5,3.379E5,2.932E5,2.529E5,4.126E5,1.00,0.66,0.80,0.79,0.68,0.59,0.96,13,145,10,TMT10plex; Carbamidomethylation; Deamidation (NQ),49895,Tubulin alpha-1C chain OS=Homo sapiens OX=9606 GN=TUBA1C PE=1 SV=1
63,22,Q13813,136.71,307.45,1.601E6,1.503E6,1.911E6,3.132E6,2.856E6,3.479E6,3.318E6,3.148E6,3.908E6,6.95E6,6.25E6,7.608E6,1.766E6,1.651E6,2.066E6,2.984E6,2.83E6,3.416E6,2.743E6,2.446E6,2.852E6,1.00,0.94,1.19,1.96,1.78,2.17,2.07,1.97,2.44,4.34,3.90,4.75,1.10,1.03,1.29,1.86,1.77,2.13,1.71,1.53,1.78,5.016E6,9.467E6,1.037E7,2.081E7,5.484E6,9.23E6,8.041E6,1.00,1.89,2.07,4.15,1.09,1.84,1.60,62,177,175,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M),284538,Spectrin alpha chain  non-erythrocytic 1 OS=Homo sapiens OX=9606 GN=SPTAN1 PE=1 SV=3
28,6,Q00839,89.75,307.20,3.777E6,4.039E6,3.858E6,1.578E7,1.5E7,1.611E7,8.314E6,8.531E6,8.68E6,1.995E7,1.85E7,1.994E7,9.137E6,8.655E6,9.405E6,8.735E6,9.13E6,9.095E6,8.843E6,7.839E6,8.073E6,1.00,1.07,1.02,4.18,3.97,4.27,2.20,2.26,2.30,5.28,4.90,5.28,2.42,2.29,2.49,2.31,2.42,2.41,2.34,2.08,2.14,1.167E7,4.689E7,2.553E7,5.839E7,2.72E7,2.696E7,2.475E7,1.00,4.02,2.19,5.00,2.33,2.31,2.12,64,139,135,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M); Phosphorylation (STY),90585,Heterogeneous nuclear ribonucleoprotein U OS=Homo sapiens OX=9606 GN=HNRNPU PE=1 SV=6
3,1236,P69905,200.00,307.19,2.341E8,2.002E8,2.32E8,6.618E6,7.499E6,8.131E6,5.62E7,4.925E7,5.979E7,1.342E7,1.383E7,1.585E7,7.09E6,8.048E6,9.161E6,1.208E7,1.27E7,1.429E7,5.752E6,7.307E6,7.165E6,1.00,0.86,0.99,0.03,0.03,0.03,0.24,0.21,0.26,0.06,0.06,0.07,0.03,0.03,0.04,0.05,0.05,0.06,0.02,0.03,0.03,6.664E8,2.225E7,1.652E8,4.311E7,2.43E7,3.908E7,2.022E7,1.00,0.03,0.25,0.06,0.04,0.06,0.03,97,128,115,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M); Phosphorylation (STY),15258,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2
14,12,P07437,62.64,306.29,1.804E5,9.552E4,2.483E5,9.732E5,5.563E5,6.755E5,4.405E5,2.608E5,4.751E5,1.002E6,5.496E5,6.982E5,3.468E5,2.131E5,3.657E5,3.364E5,2.082E5,4.167E5,1.846E6,9.385E5,1.2E6,1.00,0.53,1.38,5.40,3.08,3.75,2.44,1.45,2.63,5.55,3.05,3.87,1.92,1.18,2.03,1.87,1.15,2.31,10.24,5.20,6.65,5.242E5,2.205E6,1.176E6,2.25E6,9.257E5,9.613E5,3.985E6,1.00,4.21,2.24,4.29,1.77,1.83,7.60,20,161,15,TMT10plex; Deamidation (NQ); Oxidation (M),49671,Tubulin beta chain OS=Homo sapiens OX=9606 GN=TUBB PE=1 SV=2
16,13,P68371,50.43,305.76,9.226E3,7.262E3,1.495E4,1.161E5,9.71E4,2.068E5,2.8E4,2.136E4,4.536E4,1.242E5,1.058E5,2.043E5,6.893E4,5.594E4,1.005E5,2.783E4,2.156E4,5.572E4,1.953E5,1.781E5,3.395E5,1.00,0.79,1.62,12.59,10.52,22.42,3.04,2.32,4.92,13.46,11.47,22.14,7.47,6.06,10.89,3.02,2.34,6.04,21.17,19.30,36.80,3.144E4,4.201E5,9.473E4,4.343E5,2.254E5,1.051E5,7.129E5,1.00,13.36,3.01,13.81,7.17,3.34,22.67,7,156,3,TMT10plex; Deamidation (NQ),49831,Tubulin beta-4B chain OS=Homo sapiens OX=9606 GN=TUBB4B PE=1 SV=1
81,48,Q08211,46.01,304.38,1.54E6,1.492E6,1.364E6,3.383E6,3.137E6,3.109E6,2.606E6,2.593E6,2.503E6,4.78E6,4.275E6,4.207E6,2.793E6,2.64E6,2.606E6,2.678E6,2.701E6,2.67E6,3.197E6,2.762E6,2.67E6,1.00,0.97,0.89,2.20,2.04,2.02,1.69,1.68,1.63,3.10,2.78,2.73,1.81,1.71,1.69,1.74,1.75,1.73,2.08,1.79,1.73,4.395E6,9.63E6,7.703E6,1.326E7,8.039E6,8.049E6,8.629E6,1.00,2.19,1.75,3.02,1.83,1.83,1.96,60,137,136,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M); Phosphorylation (STY),140958,ATP-dependent RNA helicase A OS=Homo sapiens OX=9606 GN=DHX9 PE=1 SV=4
20,18,P68104,52.19,302.37,4.127E6,3.302E6,3.805E6,1.486E7,1.073E7,1.3E7,8.36E6,6.567E6,7.898E6,1.211E7,9.227E6,1.103E7,1.181E7,8.803E6,1.074E7,1.048E7,8.443E6,9.966E6,1.78E7,1.286E7,1.661E7,1.00,0.80,0.92,3.60,2.60,3.15,2.03,1.59,1.91,2.93,2.24,2.67,2.86,2.13,2.60,2.54,2.05,2.41,4.31,3.12,4.02,1.123E7,3.858E7,2.283E7,3.236E7,3.135E7,2.889E7,4.727E7,1.00,3.43,2.03,2.88,2.79,2.57,4.21,47,124,83,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M),50141,Elongation factor 1-alpha 1 OS=Homo sapiens OX=9606 GN=EEF1A1 PE=1 SV=1
59,73,Q15149,54.94,302.04,1.959E6,1.742E6,1.882E6,3.791E6,3.171E6,3.792E6,2.938E6,2.564E6,2.888E6,3.174E6,2.544E6,3.102E6,5.044E6,4.418E6,5.104E6,2.972E6,2.645E6,2.915E6,3.067E6,2.659E6,3.171E6,1.00,0.89,0.96,1.94,1.62,1.94,1.50,1.31,1.47,1.62,1.30,1.58,2.57,2.26,2.61,1.52,1.35,1.49,1.57,1.36,1.62,5.583E6,1.075E7,8.39E6,8.82E6,1.457E7,8.532E6,8.896E6,1.00,1.93,1.50,1.58,2.61,1.53,1.59,45,236,221,TMT10plex; Carbamidomethylation; Deamidation (NQ); Phosphorylation (STY),531796,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3
57,5,P29401,26.01,301.57,3.528E6,3.812E6,3.855E6,4.964E6,5.168E6,5.007E6,5.011E6,5.408E6,5.383E6,8.573E6,8.94E6,8.558E6,5.655E6,6.004E6,5.898E6,6.888E6,7.406E6,7.715E6,4.838E6,4.833E6,4.757E6,1.00,1.08,1.09,1.41,1.46,1.42,1.42,1.53,1.53,2.43,2.53,2.43,1.60,1.70,1.67,1.95,2.10,2.19,1.37,1.37,1.35,1.119E7,1.514E7,1.58E7,2.607E7,1.756E7,2.201E7,1.443E7,1.00,1.35,1.41,2.33,1.57,1.97,1.29,72,120,118,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M); Phosphorylation (STY),67878,Transketolase OS=Homo sapiens OX=9606 GN=TKT PE=1 SV=3
15,57,P08238,67.99,300.49,7.085E5,7.828E5,6.629E5,2.081E6,1.909E6,1.544E6,1.554E6,1.73E6,1.418E6,2.721E6,2.558E6,2.079E6,2.071E6,2.113E6,1.666E6,2.125E6,2.3E6,1.872E6,4.971E6,3.933E6,3.254E6,1.00,1.10,0.94,2.94,2.69,2.18,2.19,2.44,2.00,3.84,3.61,2.93,2.92,2.98,2.35,3.00,3.25,2.64,7.02,5.55,4.59,2.154E6,5.534E6,4.702E6,7.358E6,5.85E6,6.296E6,1.216E7,1.00,2.57,2.18,3.42,2.72,2.92,5.64,36,163,51,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M); Phosphorylation (STY),83264,Heat shock protein HSP 90-beta OS=Homo sapiens OX=9606 GN=HSP90AB1 PE=1 SV=4
24,29,P68366,34.21,300.28,1.568E5,1.279E5,1.619E5,4.241E5,2.052E5,2.744E5,2.699E5,2.497E5,3.255E5,5.378E5,4.13E5,5.324E5,1.877E5,1.703E5,2.068E5,2.541E5,2.74E5,3.246E5,9.361E5,2.378E5,3.116E5,1.00,0.82,1.03,2.70,1.31,1.75,1.72,1.59,2.08,3.43,2.63,3.40,1.20,1.09,1.32,1.62,1.75,2.07,5.97,1.52,1.99,4.466E5,9.037E5,8.451E5,1.483E6,5.648E5,8.527E5,1.486E6,1.00,2.02,1.89,3.32,1.26,1.91,3.33,15,135,11,TMT10plex; Carbamidomethylation; Deamidation (NQ),49924,Tubulin alpha-4A chain OS=Homo sapiens OX=9606 GN=TUBA4A PE=1 SV=1
76,56,P55072,38.79,299.79,2.242E6,2.238E6,2.053E6,4.935E6,4.858E6,4.175E6,3.607E6,4.004E6,3.531E6,5.315E6,5.353E6,4.535E6,3.759E6,3.911E6,3.429E6,3.624E6,3.966E6,3.54E6,6.035E6,5.918E6,5.087E6,1.00,1.00,0.92,2.20,2.17,1.86,1.61,1.79,1.57,2.37,2.39,2.02,1.68,1.74,1.53,1.62,1.77,1.58,2.69,2.64,2.27,6.533E6,1.397E7,1.114E7,1.52E7,1.11E7,1.113E7,1.704E7,1.00,2.14,1.71,2.33,1.70,1.70,2.61,78,123,115,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M),89322,Transitional endoplasmic reticulum ATPase OS=Homo sapiens OX=9606 GN=VCP PE=1 SV=4
30,40,P13639,59.44,298.90,4.391E6,4.156E6,4.19E6,1.052E7,9.558E6,9.997E6,7.938E6,7.551E6,7.673E6,1.192E7,1.088E7,1.109E7,9.969E6,9.272E6,9.648E6,9.146E6,8.706E6,8.563E6,1.819E7,1.643E7,1.696E7,1.00,0.95,0.95,2.40,2.18,2.28,1.81,1.72,1.75,2.72,2.48,2.52,2.27,2.11,2.20,2.08,1.98,1.95,4.14,3.74,3.86,1.274E7,3.008E7,2.316E7,3.389E7,2.889E7,2.641E7,5.158E7,1.00,2.36,1.82,2.66,2.27,2.07,4.05,70,145,142,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M),95338,Elongation factor 2 OS=Homo sapiens OX=9606 GN=EEF2 PE=1 SV=4
141,2,Q13263,44.31,296.19,1.326E6,1.272E6,1.327E6,3.067E6,2.916E6,2.986E6,2.668E6,2.75E6,2.724E6,4.651E6,4.451E6,4.412E6,2.231E6,2.248E6,2.211E6,3.073E6,3.205E6,3.184E6,3.449E6,3.325E6,3.191E6,1.00,0.96,1.00,2.31,2.20,2.25,2.01,2.07,2.05,3.51,3.36,3.33,1.68,1.70,1.67,2.32,2.42,2.40,2.60,2.51,2.41,3.925E6,8.969E6,8.142E6,1.351E7,6.69E6,9.461E6,9.965E6,1.00,2.29,2.07,3.44,1.70,2.41,2.54,68,80,79,TMT10plex; Carbamidomethylation; Deamidation (NQ); Oxidation (M); Phosphorylation (STY),88550,Transcription intermediary factor 1-beta OS=Homo sapiens OX=9606 GN=TRIM28 PE=1 SV=5
